0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,class,
6552,174,4,0,17,57,1,0,0,0,0,0,0,0,0,0,2189,26,2,0,1372,6490,65,3,0,14,34,0,0,0,0,0,2,0,0,0,493,999,17,5,10,934,6006,41,0,0,6,42,0,0,0,0,26,2,0,0,109,529,835,6,0,304,1542,4963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,car,
12706,46,10,0,1,0,0,0,0,0,0,0,0,0,0,0,4789,73,13,0,1834,12500,21,0,0,0,0,0,0,0,0,0,11,0,0,0,32,2950,28,0,0,1942,12595,9,0,0,0,0,0,0,0,0,0,28,0,0,0,3,6856,6,0,0,4712,11331,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,3,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,9,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69688,car,
4899,5,0,3,1,6,13,0,0,0,0,0,0,0,0,0,1,1,7,14,0,6205,65,16,0,2,19,8,0,0,0,0,0,0,0,0,0,3,5,3,0,4,6500,70,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,5707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23604,car,
10905,1686,0,0,38,3261,2955,0,0,1,4701,5279,0,0,0,2745,1851,146,0,0,684,5282,378,0,0,18,1898,1985,0,0,2,2666,0,0,0,0,0,410,17,0,0,108,1995,205,0,0,3,911,0,0,0,0,0,0,0,0,0,0,241,17,0,0,65,3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53615,car,
9881,81,5,0,32,64,1,0,0,0,0,0,0,0,0,0,6816,89,0,0,3984,9409,46,5,0,97,32,0,0,0,0,0,48,0,0,0,2404,4860,25,2,0,2743,6873,44,0,0,14,21,0,0,0,0,0,1,0,0,0,975,2477,20,0,0,1023,6649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58721,car,
9062,181,92,32,1,12,19,6,0,0,0,0,0,0,0,0,886,72,6,0,456,9256,117,44,0,5,5,7,0,0,0,0,0,0,0,0,0,868,164,0,0,522,16341,66,0,0,4,21,0,0,0,0,0,0,0,0,0,0,2360,577,0,0,121,14861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,car,
6235,50,1,0,5,25,24,1,0,0,0,0,0,0,0,0,37,17,0,0,7,8009,6,0,0,1,4,10,0,0,0,0,0,0,0,0,0,26,7,0,0,2,4828,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,62,3,0,0,0,5261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24630,car,
4598,908,0,0,28,38,0,0,0,0,0,0,0,0,0,0,46,3250,1686,0,24,4325,361,0,0,27,28,0,0,0,0,0,0,0,2052,2494,0,41,1253,2010,0,33,3592,177,0,0,13,17,0,0,0,1003,0,0,0,5388,0,0,16,2578,0,0,15,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38696,car,
8387,64,0,0,7,94,0,0,0,0,0,0,0,0,0,0,23,22,0,0,5,8890,58,0,0,2,198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9552,693,0,0,4,1086,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,7293,1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33197,car,
5998,1994,374,1,8,642,1108,849,0,0,32,931,0,0,0,258,789,145,1,0,265,9736,536,5,0,37,234,114,0,0,0,132,34,0,0,0,502,1154,70,1,52,635,9197,269,0,0,7,263,0,0,0,0,44,0,0,0,162,71,2255,125,0,2,1163,8084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48279,car,
